From	To
Q86YD5	LDLRAD3
Q14588	ZNF234
O00165	HAX1
Q9HBU6	ETNK1
Q96DM3	RMC1
Q9ULZ0	TP53TG3
Q9ULZ0	TP53TG3B
Q9ULZ0	TP53TG3C
Q9ULZ0	TP53TG3D
Q9ULZ0	TP53TG3E
Q9ULZ0	TP53TG3F
Q9H293	IL25
P0DI81	TRAPPC2
P35443	THBS4
Q14028	CNGB1
Q5VVH5	IRAK1BP1
O43615	TIMM44
P49748	ACADVL
P20645	M6PR
P10809	HSPD1
Q8N8U9	BMPER
Q06945	SOX4
P0C7V0	AHI1-DT
Q9BZP3	LINC00470
P58397	ADAMTS12
Q86VM9	ZC3H18
Q9H469	FBXL15
P02775	PPBP
Q5XKL5	BTBD8
Q9UJ96	KCNG2
Q03701	CEBPZ
Q5T1H1	EYS
P01106	MYC
Q13434	MKRN4P
Q13003	GRIK3
Q6JQN1	ACAD10
Q00169	PITPNA
Q13490	BIRC2
P60983	GMFB
Q9BW72	HIGD2A
Q9NP85	NPHS2
P53985	SLC16A1
P11137	MAP2
Q9HAS3	SLC28A3
Q8IXM2	BAP18
P28472	GABRB3
Q96RD9	FCRL5
Q96FA7	ZBED10P
Q8WU58	FAM222B
P05787	KRT8
P02452	COL1A1
P0DPK5	H3Y2
P37088	SCNN1A
Q13515	BFSP2
Q96MT1	RNF145
Q8N142	ADSS1
Q8IY42	C4orf19
Q4V9L6	TMEM119
Q9HC07	TMEM165
Q08188	TGM3
Q13753	LAMC2
Q6ZSZ5	ARHGEF18
Q14802	FXYD3
O43633	CHMP2A
P06340	HLA-DOA
O95391	SLU7
O60603	TLR2
Q9NP72	RAB18
P31025	LCN1
P61160	ACTR2
Q5QGZ9	CLEC12A
Q96PZ2	FAM111A
Q13889	GTF2H3
Q9NZR1	TMOD2
O75807	PPP1R15A
Q9BSN7	TMEM204
Q8NET4	RTL9
Q70EK8	USP53
A0A0A6YYC5	TRAV14DV4
P37173	TGFBR2
A6NLU0	RFPL4A
P34913	EPHX2
Q96FJ0	STAMBPL1
Q5MNZ9	WIPI1
P14174	MIF
Q9BSE4	HERPUD2
Q9Y285	FARSA
P14635	CCNB1
Q2M389	WASHC4
Q8NCD3	HJURP
Q9H2I8	LRMDA
Q8NB50	ZFP62
Q9H773	DCTPP1
O00203	AP3B1
P35240	NF2
Q8TDX5	ACMSD
Q9NZU0	FLRT3
P0C862	C1QTNF9
O43309	ZSCAN12
Q6PIZ9	TRAT1
Q92536	SLC7A6
Q3KPI0	CEACAM21
Q9H0I9	TKTL2
Q96Q40	CDK15
Q15771	RAB30
P04792	HSPB1
A6NMX2	EIF4E1B
A2VDJ0	TMEM131L
P49411	TUFM
Q96DN0	ERP27
P78406	RAE1
Q92914	FGF11
O75695	RP2
Q6ZT07	TBC1D9
P39086	GRIK1
Q9Y287	ITM2B
Q2KHR2	RFX7
P10243	MYBL1
Q8N2H9	PELI3
Q8WZ75	ROBO4
Q8N2G4	LYPD1
Q5VVX9	UBE2U
Q9C0A0	CNTNAP4
P0DSE2	TRB
P18065	IGFBP2
O00590	ACKR2
Q13243	SRSF5
P21730	C5AR1
Q9NNX6	CD209
Q6PL18	ATAD2
Q15418	RPS6KA1
P36897	TGFBR1
Q9ULH4	LRFN2
Q9HC10	OTOF
Q9P1U1	ACTR3B
O00444	PLK4
Q9Y616	IRAK3
O15294	OGT
P15586	GNS
Q9Y6I3	EPN1
Q6UX27	VSTM1
P29992	GNA11
P62942	FKBP1A
Q9Y247	FAM50B
O43708	GSTZ1
Q7Z589	EMSY
Q9NRP7	STK36
P38571	LIPA
Q9UN37	VPS4A
Q6P4H8	ATPSCKMT
P35504	UGT1A5
Q16082	HSPB2
Q9H2U2	PPA2
Q86UB9	TMEM135
Q9Y5A9	YTHDF2
P62917	RPL8
Q9UQ26	RIMS2
Q5H8A3	NMS
Q9NSA3	CTNNBIP1
O00534	VWA5A
O75553	DAB1
P13985	HRES1
P05814	CSN2
Q9BSR8	YIPF4
P31645	SLC6A4
P28358	HOXD10
Q9NRH2	SNRK
Q5JTZ9	AARS2
Q8WUU5	GATAD1
P51610	HCFC1
Q92805	GOLGA1
P47972	NPTX2
Q9BWE0	REPIN1
Q09327	MGAT3
A0JD37	TRDV3
O15393	TMPRSS2
P78527	PRKDC
Q7Z2X4	PID1
P42857	NSG1
Q6P587	FAHD1
P48047	ATP5PO
P60328	KRTAP12-3
P19634	SLC9A1
Q9UGI9	PRKAG3
Q9UMX6	GUCA1B
Q13422	IKZF1
O75716	STK16
Q3KRB8	ARHGAP11B
Q7Z736	PLEKHH3
P00156	MT-CYB
P07766	CD3E
Q96DN6	MBD6
O15127	SCAMP2
Q8NH74	OR10A6
P35354	PTGS2
Q6ZWT7	MBOAT2
P0DOY3	IGLC3
Q9NR80	ARHGEF4
Q3LI63	KRTAP20-1
P78415	IRX3
P41231	P2RY2
P43627	KIR2DL2
O60895	RAMP2
Q9UF47	DNAJC5B
P08294	SOD3
Q9Y5P8	PPP2R3B
Q8IWZ6	BBS7
O14593	RFXANK
Q0P6D6	CCDC15
Q658P3	STEAP3
A6NFN3	RBFOX3
P16104	H2AX
O95235	KIF20A
A2A3K4	PTPDC1
Q8IWT1	SCN4B
Q4U2R8	SLC22A6
O75143	ATG13
P07998	RNASE1
Q7Z401	DENND4A
Q9P0S3	ORMDL1
P40925	MDH1
Q8IYX3	CCDC116
Q08AG7	MZT1
Q92915	FGF14
Q14254	FLOT2
A8K979	ERI2
Q9UPV9	TRAK1
O60296	TRAK2
P52757	CHN2
Q9NZN4	EHD2
P16066	NPR1
Q9Y6I8	PXMP4
O75452	RDH16
Q92561	PHYHIP
Q7RTM1	OTOP1
Q99593	TBX5
O60312	ATP10A
Q969J5	IL22RA2
Q96EK9	KTI12
Q96PX6	CCDC85A
Q96EX2	RNFT2
Q8N587	ZNF561
Q9BR76	CORO1B
P00740	F9
Q96PE2	ARHGEF17
O95299	NDUFA10
Q9UH17	APOBEC3B
Q9P225	DNAH2
Q9NXB9	ELOVL2
Q8ND56	LSM14A
Q9Y468	L3MBTL1
Q9BTV5	FSD1
Q96QR8	PURB
Q9UKA4	AKAP11
Q99963	SH3GL3
Q9Y483	MTF2
Q86WA8	LONP2
Q8NA77	TEX19
P22307	SCP2
Q15406	NR6A1
O43169	CYB5B
Q9NVE5	USP40
Q86WH2	RASSF3
Q9BZ72	PITPNM2
P0C0S8	H2AC11
P0C0S8	H2AC13
P0C0S8	H2AC15
P0C0S8	H2AC16
P0C0S8	H2AC17
Q3ZCQ8	TIMM50
P01111	NRAS
Q15113	PCOLCE
P46695	IER3
Q96A29	SLC35C1
P12235	SLC25A4
P01213	PDYN
Q6ZRV2	FAM83H
P01876	IGHA1
Q8TEA8	DTD1
P51617	IRAK1
Q9NR82	KCNQ5
O00287	RFXAP
Q8N431	RASGEF1C
Q7KZI7	MARK2
Q8IYB5	SMAP1
Q8N682	DRAM1
Q8WUI4	HDAC7
O60664	PLIN3
Q8IXK0	PHC2
Q8IY95	TMEM192
O75792	RNASEH2A
Q96RK0	CIC
Q9NPE6	SPAG4
Q8IXZ3	SP8
O14640	DVL1
Q15746	MYLK
Q969T9	WBP2
Q9BUH8	BEGAIN
P49591	SARS1
Q8IYW5	RNF168
Q8NDY4	MDS2
O95825	CRYZL1
Q9P0P8	MTRES1
P06702	S100A9
Q8TF65	GIPC2
Q9BX73	TM2D2
P61158	ACTR3
Q9NZQ0	DNAJC27
